mq2,mq136,category
8.0,46.0,SEDANG
7.0,47.0,SEDANG
7.0,50.0,SEDANG
8.0,48.0,SEDANG
12.0,48.0,SEDANG
14.0,47.0,BAIK
22.0,48.0,SEDANG
26.0,7.0,BAIK
26.0,11.0,SEDANG
28.0,14.0,SEDANG
25.0,13.0,SEDANG
30.0,12.0,SEDANG
34.0,13.0,TIDAK SEHAT
28.0,15.0,SEDANG
22.0,12.0,SEDANG
19.0,13.0,SEDANG
20.0,15.0,SEDANG
26.0,14.0,SEDANG
18.0,10.0,SEDANG
15.0,9.0,BAIK
20.0,10.0,SEDANG
17.0,9.0,BAIK
19.0,9.0,BAIK
17.0,13.0,SEDANG
21.0,12.0,SEDANG
24.0,11.0,SEDANG
21.0,14.0,SEDANG
22.0,20.0,SEDANG
18.0,13.0,SEDANG
22.0,13.0,SEDANG
25.0,14.0,SEDANG
25.0,13.0,SEDANG
23.0,11.0,SEDANG
19.0,13.0,SEDANG
22.0,19.0,SEDANG
25.0,13.0,SEDANG
17.0,13.0,SEDANG
18.0,16.0,SEDANG
15.0,58.0,TIDAK SEHAT
12.0,58.0,TIDAK SEHAT
13.0,56.0,SEDANG
15.0,58.0,SEDANG
30.0,56.0,TIDAK SEHAT
18.0,55.0,SEDANG
13.0,55.0,SEDANG
14.0,56.0,SEDANG
11.0,55.0,SEDANG
23.0,56.0,SEDANG
6.0,54.0,SEDANG
18.0,55.0,SEDANG
7.0,54.0,SEDANG
11.0,54.0,SEDANG
9.0,54.0,SEDANG
11.0,54.0,SEDANG
12.0,54.0,SEDANG
11.0,54.0,SEDANG
20.0,54.0,SEDANG
13.0,54.0,SEDANG
18.0,55.0,SEDANG
14.0,54.0,SEDANG
14.0,54.0,SEDANG
13.0,54.0,SEDANG
9.0,54.0,SEDANG
14.0,54.0,SEDANG
16.0,54.0,SEDANG
11.0,54.0,SEDANG
9.0,54.0,SEDANG
27.0,27.0,TIDAK SEHAT
10.0,56.0,SEDANG
14.0,55.0,SEDANG
11.0,55.0,SEDANG
7.0,55.0,SEDANG
6.0,54.0,SEDANG
13.0,55.0,SEDANG
8.0,55.0,SEDANG
10.0,56.0,SEDANG
6.0,55.0,SEDANG
11.0,55.0,SEDANG
8.0,55.0,SEDANG
11.0,55.0,SEDANG
9.0,55.0,SEDANG
8.0,55.0,SEDANG
10.0,55.0,SEDANG
13.0,55.0,SEDANG
5.0,55.0,SEDANG
6.0,55.0,SEDANG
20.0,51.0,SEDANG
16.0,51.0,SEDANG
16.0,51.0,SEDANG
17.0,51.0,SEDANG
30.0,52.0,SEDANG
19.0,52.0,SEDANG
11.0,52.0,SEDANG
12.0,52.0,SEDANG
11.0,52.0,SEDANG
24.0,51.0,SEDANG
11.0,54.0,SEDANG
16.0,58.0,SEDANG
11.0,61.0,SEDANG
11.0,56.0,SEDANG
11.0,57.0,SEDANG
10.0,57.0,SEDANG
8.0,57.0,SEDANG
12.0,58.0,SEDANG
9.0,52.0,SEDANG
4.0,52.0,SEDANG
6.0,52.0,SEDANG
15.0,46.0,SEDANG
12.0,46.0,SEDANG
14.0,45.0,SEDANG
10.0,46.0,SEDANG
13.0,48.0,SEDANG
10.0,49.0,SEDANG
10.0,47.0,SEDANG
8.0,45.0,BAIK
8.0,46.0,SEDANG
6.0,45.0,BAIK
10.0,47.0,SEDANG
10.0,48.0,BAIK
8.0,51.0,SEDANG
11.0,47.0,SEDANG
6.0,46.0,BAIK
3.0,44.0,BAIK
5.0,44.0,BAIK
8.0,45.0,BAIK
11.0,48.0,SEDANG
9.0,48.0,SEDANG
13.0,45.0,SEDANG
31.0,46.0,SEDANG
19.0,47.0,BAIK
10.0,57.0,SEDANG
14.0,56.0,SEDANG
9.0,58.0,SEDANG
14.0,59.0,SEDANG
11.0,57.0,SEDANG
6.0,58.0,SEDANG
8.0,59.0,SEDANG
15.0,57.0,SEDANG
8.0,56.0,SEDANG
7.0,54.0,SEDANG
8.0,54.0,SEDANG
6.0,53.0,SEDANG
6.0,53.0,SEDANG
7.0,53.0,SEDANG
9.0,55.0,SEDANG
7.0,59.0,SEDANG
5.0,53.0,SEDANG
15.0,54.0,SEDANG
12.0,53.0,SEDANG
8.0,53.0,SEDANG
20.0,10.0,TIDAK SEHAT
11.0,12.0,SEDANG
7.0,13.0,SEDANG
10.0,13.0,SEDANG
14.0,10.0,SEDANG
10.0,11.0,SEDANG
15.0,10.0,SEDANG
22.0,10.0,SEDANG
14.0,12.0,SEDANG
11.0,12.0,TIDAK SEHAT
16.0,11.0,SEDANG
11.0,10.0,BAIK
10.0,10.0,SEDANG
9.0,11.0,SEDANG
12.0,10.0,SEDANG
6.0,11.0,SEDANG
7.0,10.0,SEDANG
13.0,13.0,SEDANG
7.0,24.0,BAIK
8.0,24.0,BAIK
8.0,24.0,SEDANG
4.0,24.0,BAIK
5.0,24.0,SEDANG
6.0,24.0,SEDANG
7.0,25.0,SEDANG
7.0,27.0,SEDANG
5.0,24.0,BAIK
16.0,24.0,SEDANG
14.0,24.0,SEDANG
23.0,24.0,SEDANG
7.0,25.0,SEDANG
18.0,40.0,SEDANG
9.0,40.0,SEDANG
7.0,39.0,SEDANG
10.0,46.0,SEDANG
15.0,37.0,SEDANG
12.0,39.0,SEDANG
18.0,21.0,SEDANG
11.0,18.0,SEDANG
57.0,12.0,SEDANG
6.0,11.0,BAIK
8.0,21.0,SEDANG
8.0,19.0,SEDANG
11.0,24.0,SEDANG
5.0,24.0,BAIK
7.0,39.0,SEDANG
8.0,25.0,SEDANG
6.0,19.0,BAIK
7.0,33.0,BAIK
10.0,37.0,SEDANG
9.0,31.0,BAIK
9.0,31.0,BAIK
10.0,32.0,BAIK
12.0,38.0,SEDANG
10.0,37.0,SEDANG
8.0,30.0,BAIK
18.0,31.0,SEDANG
14.0,29.0,SEDANG
15.0,29.0,SEDANG
9.0,33.0,BAIK
34.0,15.0,SEDANG
70.0,15.0,SEDANG
68.0,15.0,SEDANG
46.0,15.0,SEDANG
11.0,34.0,SEDANG
15.0,35.0,SEDANG
7.0,44.0,SEDANG
17.0,43.0,SEDANG
7.0,44.0,SEDANG
13.0,49.0,SEDANG
26.0,27.0,TIDAK SEHAT
20.0,27.0,SEDANG
30.0,27.0,SEDANG
34.0,28.0,TIDAK SEHAT
28.0,28.0,SEDANG
19.0,28.0,SEDANG
20.0,28.0,SEDANG
20.0,28.0,SEDANG
33.0,28.0,SEDANG
17.0,28.0,SEDANG
13.0,28.0,SEDANG
23.0,28.0,SEDANG
15.0,28.0,SEDANG
18.0,28.0,SEDANG
16.0,28.0,SEDANG
17.0,28.0,SEDANG
21.0,28.0,SEDANG
21.0,28.0,SEDANG
22.0,29.0,SEDANG
18.0,28.0,SEDANG
26.0,29.0,SEDANG
23.0,29.0,SEDANG
21.0,28.0,SEDANG
13.0,28.0,SEDANG
12.0,29.0,SEDANG
18.0,29.0,SEDANG
24.0,29.0,SEDANG
13.0,29.0,SEDANG
16.0,29.0,SEDANG
30.0,22.0,TIDAK SEHAT
35.0,23.0,TIDAK SEHAT
24.0,24.0,SEDANG
28.0,24.0,SEDANG
31.0,22.0,TIDAK SEHAT
22.0,24.0,SEDANG
20.0,24.0,SEDANG
18.0,25.0,SEDANG
15.0,27.0,SEDANG
25.0,24.0,SEDANG
17.0,24.0,SEDANG
14.0,22.0,SEDANG
23.0,24.0,SEDANG
15.0,22.0,SEDANG
20.0,23.0,SEDANG
17.0,25.0,SEDANG
18.0,23.0,SEDANG
21.0,23.0,SEDANG
18.0,25.0,SEDANG
25.0,27.0,SEDANG
20.0,23.0,SEDANG
26.0,24.0,SEDANG
21.0,16.0,SEDANG
23.0,12.0,SEDANG
10.0,55.0,SEDANG
6.0,54.0,SEDANG
8.0,54.0,SEDANG
9.0,54.0,SEDANG
5.0,54.0,SEDANG
6.0,55.0,SEDANG
4.0,54.0,SEDANG
6.0,55.0,SEDANG
30.0,55.0,SEDANG
10.0,54.0,SEDANG
3.0,54.0,SEDANG
5.0,54.0,SEDANG
4.0,54.0,SEDANG
10.0,54.0,SEDANG
6.0,54.0,SEDANG
30.0,14.0,SEDANG
22.0,17.0,SEDANG
20.0,17.0,SEDANG
19.0,14.0,SEDANG
19.0,13.0,BAIK
17.0,15.0,BAIK
17.0,14.0,BAIK
15.0,13.0,BAIK
17.0,17.0,BAIK
27.0,17.0,SEDANG
17.0,12.0,BAIK
13.0,11.0,BAIK
15.0,14.0,SEDANG
17.0,12.0,SEDANG
16.0,15.0,BAIK
13.0,13.0,BAIK
12.0,14.0,BAIK
11.0,16.0,BAIK
13.0,14.0,BAIK
17.0,13.0,BAIK
16.0,18.0,SEDANG
17.0,10.0,BAIK
31.0,15.0,SEDANG
15.0,13.0,SEDANG
16.0,13.0,SEDANG
21.0,13.0,SEDANG
22.0,13.0,SEDANG
22.0,19.0,SEDANG
19.0,16.0,SEDANG
14.0,51.0,SEDANG
34.0,27.0,BAIK
28.0,25.0,SEDANG
21.0,26.0,SEDANG
21.0,26.0,SEDANG
25.0,26.0,SEDANG
22.0,26.0,SEDANG
6.0,55.0,SEDANG
5.0,55.0,SEDANG
5.0,55.0,SEDANG
6.0,54.0,SEDANG
5.0,55.0,SEDANG
4.0,54.0,SEDANG
22.0,55.0,TIDAK SEHAT
5.0,55.0,SEDANG
5.0,56.0,SEDANG
8.0,58.0,SEDANG
4.0,56.0,SEDANG
8.0,55.0,SEDANG
11.0,56.0,SEDANG
11.0,59.0,SEDANG
11.0,55.0,SEDANG
14.0,50.0,SEDANG
11.0,50.0,SEDANG
12.0,50.0,SEDANG
8.0,50.0,SEDANG
6.0,50.0,SEDANG
3.0,49.0,BAIK
4.0,50.0,BAIK
7.0,52.0,SEDANG
9.0,51.0,SEDANG
5.0,51.0,SEDANG
7.0,51.0,SEDANG
8.0,51.0,SEDANG
9.0,51.0,SEDANG
10.0,51.0,SEDANG
8.0,51.0,SEDANG
13.0,51.0,SEDANG
15.0,52.0,SEDANG
23.0,51.0,SEDANG
13.0,51.0,SEDANG
18.0,26.0,SEDANG
18.0,26.0,BAIK
15.0,26.0,BAIK
16.0,26.0,BAIK
39.0,26.0,SEDANG
27.0,26.0,SEDANG
17.0,26.0,SEDANG
19.0,26.0,SEDANG
21.0,26.0,SEDANG
21.0,26.0,BAIK
17.0,26.0,BAIK
16.0,26.0,BAIK
17.0,26.0,SEDANG
20.0,27.0,SEDANG
19.0,27.0,SEDANG
21.0,27.0,SEDANG
40.0,27.0,TIDAK SEHAT
18.0,27.0,SEDANG
17.0,27.0,SEDANG
25.0,27.0,SEDANG
27.0,27.0,TIDAK SEHAT
23.0,27.0,SEDANG
23.0,27.0,SEDANG
27.0,27.0,SEDANG
29.0,21.0,SEDANG
21.0,23.0,SEDANG
19.0,22.0,SEDANG
18.0,22.0,SEDANG
14.0,21.0,BAIK
13.0,23.0,BAIK
13.0,22.0,BAIK
12.0,22.0,BAIK
14.0,25.0,BAIK
36.0,25.0,SEDANG
24.0,20.0,SEDANG
15.0,21.0,SEDANG
17.0,22.0,SEDANG
18.0,21.0,SEDANG
16.0,23.0,BAIK
14.0,23.0,BAIK
12.0,23.0,BAIK
12.0,27.0,BAIK
14.0,23.0,BAIK
15.0,22.0,SEDANG
16.0,27.0,SEDANG
17.0,21.0,SEDANG
39.0,23.0,TIDAK SEHAT
19.0,25.0,SEDANG
18.0,30.0,SEDANG
23.0,25.0,SEDANG
23.0,24.0,SEDANG
26.0,27.0,TIDAK SEHAT
24.0,27.0,TIDAK SEHAT
25.0,24.0,SEDANG
28.0,22.0,SEDANG
22.0,23.0,SEDANG
21.0,25.0,SEDANG
22.0,23.0,SEDANG
14.0,30.0,SEDANG
26.0,23.0,SEDANG
20.0,23.0,SEDANG
17.0,24.0,SEDANG
18.0,24.0,SEDANG
19.0,15.0,SEDANG
18.0,14.0,SEDANG
24.0,13.0,SEDANG
24.0,14.0,SEDANG
27.0,14.0,SEDANG
18.0,15.0,SEDANG
20.0,16.0,SEDANG
18.0,19.0,SEDANG
18.0,16.0,SEDANG
12.0,19.0,SEDANG
11.0,18.0,SEDANG
10.0,18.0,SEDANG
8.0,16.0,SEDANG
10.0,18.0,SEDANG
20.0,14.0,SEDANG
17.0,19.0,SEDANG
17.0,17.0,SEDANG
20.0,18.0,SEDANG
17.0,15.0,SEDANG
15.0,17.0,SEDANG
14.0,25.0,SEDANG
12.0,20.0,SEDANG
11.0,20.0,SEDANG
13.0,16.0,SEDANG
15.0,12.0,SEDANG
21.0,26.0,SEDANG
15.0,22.0,SEDANG
14.0,18.0,SEDANG
10.0,19.0,SEDANG
8.0,19.0,SEDANG
10.0,17.0,TIDAK SEHAT
6.0,55.0,SEDANG
7.0,55.0,SEDANG
8.0,55.0,SEDANG
12.0,55.0,SEDANG
18.0,56.0,SEDANG
10.0,55.0,SEDANG
12.0,55.0,SEDANG
9.0,56.0,SEDANG
9.0,56.0,SEDANG
7.0,55.0,SEDANG
4.0,56.0,SEDANG
5.0,54.0,SEDANG
14.0,55.0,SEDANG
9.0,57.0,SEDANG
9.0,54.0,SEDANG
16.0,48.0,SEDANG
12.0,47.0,SEDANG
9.0,48.0,BAIK
5.0,48.0,BAIK
14.0,49.0,SEDANG
16.0,50.0,SEDANG
9.0,48.0,SEDANG
9.0,54.0,SEDANG
7.0,51.0,SEDANG
19.0,50.0,SEDANG
12.0,50.0,SEDANG
19.0,53.0,SEDANG
16.0,52.0,SEDANG
14.0,50.0,SEDANG
17.0,49.0,SEDANG
15.0,50.0,SEDANG
14.0,49.0,SEDANG
12.0,48.0,SEDANG
7.0,49.0,SEDANG
6.0,49.0,SEDANG
7.0,50.0,BAIK
10.0,49.0,SEDANG
20.0,50.0,SEDANG
10.0,50.0,SEDANG
12.0,50.0,SEDANG
15.0,25.0,SEDANG
10.0,24.0,SEDANG
17.0,49.0,SEDANG
12.0,49.0,SEDANG
10.0,48.0,SEDANG
9.0,46.0,BAIK
13.0,47.0,SEDANG
9.0,47.0,SEDANG
8.0,49.0,BAIK
6.0,47.0,SEDANG
6.0,51.0,SEDANG
9.0,50.0,SEDANG
7.0,50.0,SEDANG
7.0,51.0,SEDANG
8.0,52.0,SEDANG
28.0,20.0,SEDANG
21.0,16.0,BAIK
20.0,15.0,SEDANG
24.0,16.0,SEDANG
21.0,16.0,SEDANG
32.0,20.0,SEDANG
22.0,19.0,SEDANG
20.0,16.0,SEDANG
20.0,20.0,SEDANG
16.0,20.0,BAIK
17.0,13.0,BAIK
25.0,14.0,SEDANG
21.0,14.0,SEDANG
22.0,13.0,BAIK
15.0,55.0,SEDANG
9.0,55.0,SEDANG
7.0,54.0,SEDANG
13.0,56.0,SEDANG
10.0,54.0,SEDANG
11.0,56.0,SEDANG
13.0,56.0,SEDANG
9.0,58.0,SEDANG
5.0,55.0,SEDANG
7.0,54.0,SEDANG
7.0,55.0,SEDANG
6.0,54.0,SEDANG
6.0,54.0,SEDANG
10.0,55.0,SEDANG
21.0,56.0,SEDANG
5.0,54.0,SEDANG
8.0,54.0,SEDANG
9.0,55.0,SEDANG
13.0,56.0,SEDANG
4.0,25.0,BAIK
10.0,25.0,SEDANG
15.0,25.0,SEDANG
6.0,25.0,SEDANG
10.0,25.0,SEDANG
9.0,25.0,SEDANG
4.0,25.0,SEDANG
7.0,25.0,SEDANG
16.0,25.0,SEDANG
24.0,25.0,SEDANG
24.0,25.0,TIDAK SEHAT
22.0,25.0,SEDANG
21.0,25.0,SEDANG
23.0,26.0,SEDANG
22.0,25.0,SEDANG
24.0,25.0,TIDAK SEHAT
21.0,25.0,SEDANG
20.0,25.0,SEDANG
18.0,25.0,SEDANG
15.0,25.0,SEDANG
18.0,25.0,SEDANG
28.0,26.0,SEDANG
22.0,25.0,SEDANG
17.0,34.0,SEDANG
18.0,26.0,SEDANG
12.0,25.0,BAIK
7.0,23.0,BAIK
15.0,24.0,SEDANG
16.0,25.0,SEDANG
11.0,27.0,SEDANG
11.0,25.0,SEDANG
12.0,37.0,SEDANG
6.0,28.0,SEDANG
14.0,26.0,SEDANG
11.0,24.0,SEDANG
9.0,22.0,SEDANG
11.0,24.0,SEDANG
18.0,23.0,SEDANG
12.0,22.0,SEDANG
11.0,23.0,SEDANG
19.0,22.0,SEDANG
10.0,22.0,SEDANG
12.0,20.0,TIDAK SEHAT
8.0,21.0,SEDANG
7.0,19.0,SEDANG
9.0,24.0,SEDANG
14.0,30.0,BAIK
17.0,23.0,BAIK
27.0,21.0,SEDANG
20.0,22.0,SEDANG
21.0,21.0,SEDANG
8.0,55.0,SEDANG
11.0,55.0,TIDAK SEHAT
8.0,55.0,TIDAK SEHAT
7.0,54.0,SEDANG
8.0,54.0,SEDANG
8.0,54.0,SEDANG
9.0,55.0,SEDANG
9.0,55.0,SEDANG
8.0,56.0,TIDAK SEHAT
12.0,56.0,TIDAK SEHAT
17.0,56.0,TIDAK SEHAT
14.0,56.0,SEDANG
12.0,56.0,SEDANG
12.0,57.0,TIDAK SEHAT
11.0,56.0,TIDAK SEHAT
10.0,56.0,SEDANG
11.0,56.0,SEDANG
10.0,55.0,SEDANG
17.0,56.0,SEDANG
12.0,56.0,SEDANG
12.0,56.0,TIDAK SEHAT
9.0,56.0,SEDANG
10.0,57.0,SEDANG
11.0,56.0,TIDAK SEHAT
8.0,54.0,SEDANG
11.0,54.0,SEDANG
11.0,54.0,SEDANG
13.0,55.0,SEDANG
13.0,56.0,SEDANG
9.0,55.0,SEDANG
8.0,55.0,SEDANG
14.0,55.0,SEDANG
8.0,55.0,SEDANG
13.0,55.0,SEDANG
17.0,55.0,SEDANG
10.0,55.0,SEDANG
10.0,55.0,SEDANG
11.0,55.0,SEDANG
11.0,56.0,SEDANG
15.0,56.0,SEDANG
14.0,56.0,SEDANG
10.0,56.0,SEDANG
13.0,56.0,SEDANG
7.0,55.0,SEDANG
15.0,56.0,SEDANG
13.0,56.0,SEDANG
20.0,55.0,SEDANG
11.0,55.0,SEDANG
12.0,55.0,SEDANG
13.0,13.0,SEDANG
15.0,29.0,SEDANG
23.0,30.0,SEDANG
32.0,30.0,TIDAK SEHAT
19.0,30.0,SEDANG
22.0,30.0,TIDAK SEHAT
17.0,30.0,TIDAK SEHAT
18.0,30.0,TIDAK SEHAT
13.0,30.0,SEDANG
12.0,30.0,SEDANG
13.0,30.0,SEDANG
15.0,30.0,SEDANG
15.0,30.0,SEDANG
12.0,30.0,SEDANG
13.0,30.0,TIDAK SEHAT
12.0,30.0,SEDANG
14.0,31.0,TIDAK SEHAT
17.0,31.0,SEDANG
18.0,31.0,TIDAK SEHAT
17.0,31.0,TIDAK SEHAT
16.0,31.0,TIDAK SEHAT
15.0,31.0,SEDANG
18.0,30.0,SEDANG
12.0,30.0,SEDANG
15.0,30.0,SEDANG
13.0,31.0,TIDAK SEHAT
14.0,31.0,TIDAK SEHAT
11.0,31.0,SEDANG
11.0,31.0,SEDANG
13.0,31.0,TIDAK SEHAT
17.0,23.0,SEDANG
17.0,23.0,SEDANG
18.0,24.0,SEDANG
22.0,26.0,SEDANG
23.0,26.0,SEDANG
18.0,26.0,SEDANG
21.0,28.0,TIDAK SEHAT
20.0,28.0,TIDAK SEHAT
22.0,28.0,TIDAK SEHAT
16.0,26.0,SEDANG
17.0,25.0,SEDANG
23.0,25.0,SEDANG
16.0,24.0,SEDANG
23.0,25.0,TIDAK SEHAT
23.0,26.0,SEDANG
20.0,26.0,SEDANG
20.0,27.0,SEDANG
21.0,29.0,TIDAK SEHAT
21.0,28.0,TIDAK SEHAT
20.0,24.0,SEDANG
22.0,24.0,SEDANG
18.0,25.0,SEDANG
26.0,31.0,SEDANG
22.0,30.0,SEDANG
26.0,27.0,TIDAK SEHAT
17.0,26.0,SEDANG
18.0,28.0,SEDANG
21.0,28.0,TIDAK SEHAT
19.0,28.0,TIDAK SEHAT
17.0,28.0,SEDANG
21.0,27.0,TIDAK SEHAT
